t_sec,count,p50_ms,p95_ms,p99_ms,p999_ms
5.0,6240,50.80528846153847,850.8052884615381,970.1610576923077,997.0161057692306
11.4,6397,36.387369079255905,832.9842113490696,966.5968422698139,996.6596842269817
16.4,5069,26.705464588676264,820.8818307358451,964.176366147169,996.417636614717
21.5,6805,45.32990448199853,844.1623806024978,968.8324761204993,996.8832476120498
26.5,5599,52.134309698160386,852.1343096981602,970.4268619396317,997.0426861939629
31.5,5389,30.334013731675636,825.4175171645943,965.0835034329189,996.5083503432917
36.6,6426,37.24867724867725,834.0608465608465,966.8121693121694,996.681216931217
41.6,5856,41.09972677595629,838.8746584699454,967.7749316939892,996.7774931693991
46.6,5461,46.05932979307819,845.0741622413476,969.0148324482697,996.9014832448273
51.7,6400,46.134375,845.1679687500001,969.0335937499999,996.9033593749998
56.7,5406,34.68738438771735,830.8592304846467,966.1718460969292,996.6171846096931
61.7,4041,23.23929720366246,816.5491215045779,963.3098243009157,996.3309824300918
66.7,5669,47.02383053839365,846.2824131240079,969.2564826248016,996.9256482624797
73.0,5239,34.65355983966406,830.8169497995797,966.1633899599159,996.6163389959918
78.5,6136,38.47535096310806,835.6176662320728,967.1235332464147,996.7123533246416
83.5,14405,19.005206525511976,811.2565081568896,962.2513016313777,996.2251301631377
88.5,5143,48.08774345858745,847.637565623177,969.5275131246354,996.9527513124634
93.5,6408,37.54114075730947,834.8041510611735,966.9608302122347,996.6960830212234
98.6,6006,41.318095892765086,839.4855144855147,967.8971028971026,996.7897102897106
103.6,4900,65.25510204081633,865.2551020408164,973.0510204081635,997.3051020408163
109.1,4830,51.651138716356115,851.6511387163558,970.3302277432712,997.0330227743272
114.1,12764,33.088373550611095,828.8604669382637,965.7720933876526,996.5772093387654
119.2,9018,27.249194533940674,821.6317365269459,964.326347305389,996.4326347305389
124.2,4146,44.12386706948641,843.5178485287021,968.7035697057403,996.8703569705739
129.3,5064,39.58342055683483,837.9936808846759,967.5987361769353,996.7598736176936
135.5,6015,45.0514385353095,844.3266832917707,968.865336658354,996.8865336658353
140.5,4647,50.22109577221743,850.338928340865,970.0677856681732,997.0067785668173
146.9,4610,56.42764157083967,856.4370932754879,971.2874186550977,997.1287418655096
151.9,14950,27.527759197324414,821.9096989966553,964.3819397993311,996.438193979933
157.0,5429,29.531044832114052,824.8940873088964,964.9788174617792,996.497881746178
162.1,4155,54.34835271317829,854.645006016847,970.9290012033692,997.092900120337
167.1,4283,47.55501222493888,848.1204763016576,969.6240952603314,996.9624095260331
172.2,4407,43.60481927710843,843.0508282278191,968.6101656455637,996.8610165645562
177.2,3687,61.89986282578876,862.3338757797665,972.4667751559534,997.2466775155954
182.3,5820,26.76338078933141,822.7706185567006,964.5541237113399,996.4554123711342
187.3,3450,69.25556858147715,869.5942028985509,973.9188405797104,997.3918840579712
192.6,3868,52.27920227920228,852.3655635987589,970.4731127197516,997.0473112719751
199.1,23943,26.41732447897089,820.5216555987136,964.1043311197428,996.4104331119739
204.1,11890,20.862097996295674,813.6143818334735,962.7228763666949,996.2722876366693
209.1,3498,45.314814814814824,845.6046312178386,969.120926243568,996.9120926243569
214.2,4210,37.92851749307828,836.6389548693587,967.3277909738719,996.7327790973875
219.2,3527,47.87000305157156,848.759569038843,969.7519138077688,996.975191380777
224.3,2831,76.68059593023256,877.3313316849167,975.4662663369834,997.5466266336985
229.4,4565,34.44804443415876,832.5082146768893,966.5016429353778,996.650164293538
234.5,4962,31.106418918918923,828.0935106811769,965.6187021362357,996.5618702136233
239.5,4515,33.41394693590045,831.1960132890362,966.2392026578073,996.6239202657806
244.5,2908,40.41135784492173,839.3655433287483,967.8731086657499,996.7873108665748
249.6,21068,17.168217201442946,808.9602715018038,961.7920543003609,996.1792054300364
254.6,9022,16.12466725820763,807.6839946796714,961.5367989359345,996.153679893593
260.8,5101,33.78756689995883,831.5232307390705,966.304646147814,996.6304646147818
265.9,2834,59.94307748806464,861.5119971771346,972.302399435427,997.2302399435426
270.9,4706,23.236429707017944,819.6238844028898,963.9247768805778,996.392477688058
276.0,4372,32.011605415860735,829.5288197621223,965.9057639524246,996.5905763952422
281.1,2685,70.25058275058275,871.480446927374,974.2960893854747,997.4296089385475
286.2,2753,61.329588014981276,862.4954594987287,972.4990918997457,997.2499091899746
291.4,3480,46.583005745388576,846.3002873563219,969.2600574712642,996.9260057471263
296.4,2709,72.496191926885,873.3388704318936,974.6677740863787,997.4667774086379
301.5,1654,61.876558603491276,863.0290205562272,972.6058041112452,997.2605804111246
306.5,10545,34.81365576102418,831.01706970128,966.2034139402558,996.6203413940256
311.5,11964,28.921765295887663,823.6522066198593,964.7304413239717,996.4730441323974
316.6,19358,23.369840367825592,816.7140200433928,963.3428040086785,996.3342804008681
323.1,15084,24.967741935483872,818.8113232564305,963.7622646512862,996.3762264651285
328.2,3735,40.54705882352942,839.7925033467202,967.9585006693443,996.7958500669342
333.3,2419,35.792522380200104,839.9028524183545,967.980570483671,996.7980570483671
338.4,2451,50.386382623224726,851.5401876784986,970.3080375356998,997.0308037535699
343.5,2655,50.53191489361703,853.5875706214688,970.7175141242939,997.0717514124292
348.6,2821,47.052797478329396,848.9365473236438,969.7873094647289,996.9787309464732
353.7,2241,67.19858156028369,869.0428380187415,973.8085676037484,997.380856760375
358.8,2956,41.80252583237658,843.0057510148847,968.6011502029768,996.860115020298
363.9,3544,31.599008366904247,830.3682279909704,966.0736455981939,996.6073645598195
369.0,3049,39.77264525442079,840.3000983929154,968.0600196785831,996.8060019678585
374.1,2619,48.69960988296489,851.7373043146239,970.3474608629248,997.0347460862926
379.1,3052,44.03179190751445,844.3971166448232,968.8794233289648,996.8879423328966
385.6,2125,49.03672486453944,856.1882352941175,971.2376470588235,997.1237647058824
390.9,454,353.98230088495575,931.8281938325989,986.3656387665197,998.6365638766518
396.2,662,42.04152249134948,872.0166163141992,974.40332326284,997.440332326284
401.6,672,55.15202702702703,880.2455357142856,976.0491071428571,997.6049107142857
409.0,747,110.7095046854083,901.3386880856759,980.2677376171351,998.0267737617137
414.1,13814,31.915586766089916,827.3997393948167,965.4799478789633,996.5479947878962
419.2,13003,36.53695301084365,833.1711912635544,966.6342382527107,996.6634238252714
424.2,10784,41.669449081803016,839.5887425816024,967.9177485163207,996.7917748516318
429.2,12839,32.364854338682036,827.9577848742115,965.5915569748425,996.559155697484
434.3,4568,30.313493866424352,826.3627408056041,965.2725481611209,996.5272548161122
439.4,3337,49.16804225817101,849.5205274198383,969.9041054839676,996.9904105483969
444.6,3034,49.46224677716391,850.7168754119971,970.1433750823991,997.0143375082401
451.0,7535,9.117673909074313,796.8779031187788,959.3755806237558,995.9375580623757
456.1,5688,8.553314460957774,793.6664908579465,958.7332981715896,995.873329817159
461.1,3935,9.342438494934878,803.7039390088943,960.7407878017788,996.0740787801778
466.3,4758,8.671304103428893,795.8543505674651,959.1708701134932,995.9170870113489
471.4,6719,7.77311320754717,785.8498288435779,957.1699657687154,995.7169965768716
476.5,4427,16.090133982947627,811.8929297492658,962.3785859498532,996.2378585949856
481.6,4528,9.25039123630673,800.6735865724384,960.134717314488,996.0134717314488
486.6,6652,8.337590882295148,790.7471437161755,958.1494287432353,995.8149428743235
491.7,4846,12.575691092584467,807.2172926124634,961.4434585224925,996.1443458522494
496.8,3794,35.76540755467197,834.2514496573536,966.8502899314706,996.6850289931473
501.8,3215,40.3304347826087,840.5132192846035,968.102643856921,996.8102643856923
506.9,3675,36.089800773119244,835.3401360544217,967.0680272108845,996.7068027210881
515.8,20214,28.07776234874033,822.6699317304838,964.5339863460966,996.4533986346094
520.9,13411,35.46417120274402,831.8302140034297,966.3660428006858,996.6366042800685
525.9,15764,24.604161380360317,818.2552017254503,963.6510403450902,996.3651040345092
530.9,6769,43.60797144556811,842.1221746195895,968.4244349239177,996.8424434923915
