t_sec,rate_per_sec
5.0,0
11.4,0
16.4,0
21.5,0
26.5,0
31.5,0
36.6,0
41.6,0
46.6,0
51.7,0
56.7,0
61.7,0
66.7,0
73.0,0
78.5,0
83.5,0
88.5,0
93.5,0
98.6,0
103.6,0
109.1,0
114.1,0
119.2,0
124.2,0
129.3,0
135.5,0
140.5,0
146.9,0
151.9,0
157.0,0
162.1,0
167.1,0
172.2,0
177.2,0
182.3,0
187.3,0
192.6,0
199.1,0
204.1,0
209.1,0
214.2,0
219.2,0
224.3,0
229.4,0
234.5,0
239.5,0
244.5,0
249.6,0
254.6,0
260.8,0
265.9,0
270.9,0
276.0,0
281.1,0
286.2,0
291.4,0
296.4,0
301.5,0
306.5,0
311.5,0
316.6,0
323.1,0
328.2,0
333.3,0
338.4,0
343.5,0
348.6,0
353.7,0
358.8,0
363.9,0
369.0,0
374.1,0
379.1,0
385.6,0
390.9,0
396.2,0
401.6,0
409.0,0
414.1,0
419.2,0
424.2,0
429.2,0
434.3,0
439.4,0
444.6,0
451.0,0
456.1,0
461.1,0
466.3,0
471.4,0
476.5,0
481.6,0
486.6,0
491.7,0
496.8,0
501.8,0
506.9,0
515.8,0
520.9,0
525.9,0
530.9,0
536.0,0
541.1,0
546.1,0
551.1,0
556.2,0
561.2,0
566.3,0
571.6,0
578.0,0
583.1,0
588.2,0
593.2,0
599.1,0
604.1,0
609.1,0
614.2,0
619.3,0
624.4,0
629.4,0
634.6,0
641.0,0
646.1,0
651.1,0
656.2,0
661.3,0
666.4,0
671.4,0
676.5,0
681.6,0
686.7,0
691.7,0
697.0,0
703.5,0
708.6,0
713.6,0
718.8,0
723.8,0
728.9,0
733.9,0
739.0,0
744.0,0
749.1,0
754.2,0
759.4,0
765.8,0
770.9,0
775.9,0
781.0,0
786.1,0
793.9,0
798.9,0
804.0,0
809.0,0
814.0,0
819.0,0
824.3,0
830.7,0
835.8,0
840.8,0
846.0,0
851.1,0
856.2,0
861.4,0
866.4,0
871.5,0
876.6,0
881.7,0
886.9,0
893.7,0
898.8,0
903.8,0
908.9,0
916.1,0
921.1,0
926.1,0
931.2,0
936.2,0
941.3,0
946.3,0
951.6,0
958.1,0
963.2,0
968.2,0
973.3,0
978.3,0
983.4,0
988.6,0
993.6,0
998.8,0
1003.9,0
1009.0,0
1014.4,0
1021.4,0
1026.4,0
1033.9,0
1038.9,0
1044.0,0
1049.0,0
1054.0,0
1059.2,0
1064.2,0
1069.3,0
1074.4,0
1079.5,0
1086.5,0
1091.6,0
1096.7,0
1101.8,0
1106.9,0
1112.2,0
1117.5,0
1122.6,0
1127.7,0
1132.8,0
1138.2,0
1143.2,0
1149.7,0
1154.9,0
1161.7,0
1166.8,0
1171.8,0
1176.9,0
1181.9,0
1187.0,0
1192.0,0
1197.1,0
1202.2,0
1207.3,0
1213.7,0
1218.7,0
1224.0,0
1229.0,0
1234.1,0
1239.3,0
1244.5,0
1249.6,0
1254.7,0
1259.7,0
1265.0,0
1270.1,0
1277.0,0
1282.4,0
1287.6,0
1292.7,0
1297.7,0
1302.8,0
1307.9,0
1312.9,0
1318.0,0
1323.0,0
1328.1,0
1333.1,0
1339.8,0
1344.9,0
1349.9,0
1355.0,0
1360.0,0
1365.1,0
1370.2,0
1375.2,0
1380.3,0
1385.4,0
1390.9,0
1396.1,0
1403.8,0
1408.9,0
1414.0,0
1419.2,0
1424.3,0
1429.4,0
1434.6,0
1439.6,0
1444.7,0
1449.8,0
1455.3,0
1460.5,0
1468.2,0
1473.5,0
1478.6,0
1483.6,0
1490.3,0
1495.4,0
1500.4,0
