modelId,viewCount
1811313,10115
827184,9544
443821,8045
133005,5056
620406,5055
257749,4220
2053259,4091
376130,4002
1307155,3833
2168935,3726
2242173,3687
958009,3611
4201,3499
897413,3479
2458426,3371
24350,3169
118111,3053
1318945,2982
1224788,2855
1972981,2672
1134825,2632
15003,2614
667086,2439
2270401,2362
1513492,2301
1995784,2227
2382648,2134
503815,2007
140272,1920
580857,1872
1981116,1868
2003153,1854
372465,1792
4384,1782
411088,1756
1368727,1716
621441,1679
2237711,1675
1277670,1654
139562,1651
1862761,1621
573152,1581
934764,1556
82543,1537
795765,1534
1262735,1530
1098213,1481
2458343,1476
2446218,1472
43331,1461
2447875,1448
1110783,1443
618692,1439
715287,1421
833294,1384
2457790,1365
1824027,1364
2401267,1335
2221503,1334
856375,1320
1025051,1317
994401,1295
1662740,1246
2429545,1232
700365,1223
6424,1214
2206377,1204
2409202,1152
1641408,1129
2359125,1126
166609,1122
341353,1117
1145743,1117
2079192,1082
974693,1069
960593,1064
2436401,1063
1609320,1056
2436408,1054
277058,1039
2442789,1036
2459382,1024
847101,1024
1776467,1023
1302719,1019
2384856,1006
705447,1005
1331682,985
112299,942
2354193,942
2348977,941
1884582,939
1874811,938
1125067,938
2138899,921
2416142,920
2385278,918
2088956,903
2448150,900
2661,899
2459059,899
1549210,890
2183555,877
1823089,873
1620407,865
1045588,861
2027766,860
122359,855
2319552,847
2304577,845
1950841,835
1962545,831
288584,824
2438778,820
480835,819
2004155,819
2318870,812
1874153,811
579632,808
1162518,807
144203,807
2457423,801
2320999,798
1386234,796
1285942,794
2292336,791
1654909,788
112902,788
652699,788
1963101,787
2040641,781
1409408,781
9409,776
681901,775
2443867,768
2253524,766
423398,753
1428098,752
2046189,749
2310920,746
1847730,729
147759,725
260267,714
1903424,711
2081804,706
926443,706
1718584,706
1497390,704
153568,703
312530,701
1817671,700
1295758,696
2458332,696
1272455,693
2342797,692
2027139,683
915918,681
1442763,681
2400306,680
2401251,674
1060551,673
2459697,672
2322988,670
2457982,668
2433637,663
2459140,660
1269557,659
1449665,659
1818841,659
330790,658
1936965,658
2363696,657
1442761,653
2345999,645
1098033,644
1307857,636
1377820,633
1544647,632
101055,632
1939453,628
2268008,624
1353456,622
1922973,621
226533,616
2306310,614
25694,607
2401247,604
2444491,603
2167203,602
2253048,601
2456167,599
7240,594
1480704,594
579280,590
2457882,590
964312,590
439889,589
2454012,589
2453960,588
1562047,588
1911812,580
1354549,580
2023407,576
2458064,576
2066654,574
2105650,573
2430193,572
2457995,572
2279079,570
2190659,570
2458086,570
1395313,566
1449750,565
2458359,563
599757,563
2322332,561
2459363,560
2332473,559
1978283,555
2378690,553
1434650,553
3671,553
2220,552
1984400,544
2456598,543
1363187,540
1446549,538
2190716,538
2184844,534
24149,531
2458476,529
4468,528
1499387,525
1479841,525
2457796,522
929497,519
2457925,519
2401254,518
1476909,517
2401258,517
2457722,512
1188071,512
2339965,507
100435,506
2027137,501
2458188,501
2445970,501
964011,496
1319117,493
404154,492
2031069,488
2455037,487
2091024,486
1173463,485
2456654,485
7808,485
2455682,484
1518336,483
123313,482
1376731,482
927773,477
1855263,476
2340297,476
200255,475
2238101,473
1691421,472
2167995,472
352159,472
2456240,471
1985613,471
2428293,470
1717562,469
2458607,469
1240873,468
2458720,468
2174081,466
2458776,465
9025,464
1734535,463
1412827,463
2458203,462
1350655,461
1593793,461
2269796,458
1090420,458
2458732,456
1332917,454
2218365,454
2392915,453
1585622,452
2456487,451
2455272,451
992378,450
2459540,449
1376203,448
2312166,447
2331032,445
943607,444
97479,444
2186721,443
2459235,439
2459236,436
465379,435
1692152,433
2390716,433
116225,433
1869475,430
2026594,430
1261882,430
468146,428
2457714,428
1541588,427
2458560,426
1851673,425
1595884,425
2458576,424
1899045,424
1803312,423
1861415,423
2458304,421
1648982,421
2313534,420
971952,420
2381927,417
2413983,416
2444935,415
2459640,415
2459505,413
1063772,412
2459756,409
2227622,408
876652,408
575395,408
1991867,407
7371,407
2458678,406
2459867,405
2448189,403
741620,402
1400090,401
1632416,400
174687,399
2304665,398
1270607,397
1359028,397
2393137,396
77976,395
2442929,394
1822984,394
1645577,393
585488,392
1665945,392
846917,390
25494,390
1330309,390
2128936,389
58390,389
996220,388
2282970,388
1943415,388
2374977,387
1350447,386
2456724,385
2137833,385
2368430,384
2165902,383
1092352,381
2443441,380
1319951,379
264290,377
2457778,377
2459665,377
1426284,376
2459018,375
1620022,375
2177108,375
2458242,373
2430565,372
2456199,371
2431521,370
2289463,369
2458452,368
213206,368
612477,368
2446238,366
2448025,364
495439,364
2078140,363
2438533,363
2452763,361
2193942,360
1864281,359
1266484,359
2459512,358
628775,358
2247533,357
178169,356
1353314,355
1862393,355
2459871,354
2339723,353
2027114,353
2456455,353
2397705,353
481016,352
2458131,352
1738734,352
1608866,352
1622300,351
176554,350
996495,350
1341372,349
2058077,349
2458864,348
1467532,348
2458407,348
1570986,347
1631459,347
2231076,346
1047553,346
2458158,346
2458710,346
938116,344
194768,342
139131,342
2316517,341
2459219,340
1610676,340
177792,340
1343431,339
1379962,339
2174733,338
1983608,338
1350617,337
86788,337
2454433,336
837884,335
1608870,335
2299142,335
1295193,333
2458863,332
2451418,332
2458822,332
2457848,332
1366758,332
146522,331
1681612,331
16014,330
967405,330
2458898,328
212532,328
2148595,327
2459552,327
2434294,326
2455812,326
2456015,324
1741285,324
7563,324
2169712,324
2458537,323
1200733,322
1065154,322
2448369,321
2425555,321
2448294,321
1951928,321
1439962,320
1717303,320
2246542,319
2457337,319
2306894,317
2268063,317
2367858,317
296576,317
2458365,316
1896397,316
861840,316
1033851,316
1689192,316
2457521,315
831683,314
2458417,314
820208,313
2458463,313
2344781,311
679262,311
790652,311
2447486,311
1273929,311
2460168,310
2458517,309
2455942,309
2457577,308
2143490,307
2442592,307
138630,306
2459829,306
1501149,306
2459723,305
2456552,304
136070,304
2457873,303
1775002,303
2458879,303
2453633,302
1135451,302
1940244,302
1103074,302
2459742,301
2442947,301
2458772,300
1486904,300
2439952,300
1368557,299
2423441,298
1952032,298
2458047,298
2435474,297
300005,297
2457955,296
2364703,296
1913233,296
1295569,295
1976055,295
2455623,295
1031130,294
10364,292
618578,291
827482,291
2311905,291
2147591,290
2409134,290
2222911,290
1901521,290
2229037,289
1175632,289
2247663,289
1967237,288
2259527,288
2086389,287
2458982,286
1309369,286
2364658,286
2429792,286
2401308,286
2459970,285
178167,284
436803,284
989367,283
949821,283
2458595,282
1721372,281
8281,281
2457518,281
2457598,280
1457591,280
2176039,278
2458346,277
2182526,277
1091495,277
2458102,277
2443478,277
660535,276
1264720,276
2070335,276
1852647,275
2436859,275
2459076,275
1343950,274
2173571,274
2078995,274
1324564,274
664077,273
2445871,273
1389735,273
2459594,273
2413819,273
1423866,273
1651835,272
2430147,271
534506,271
2446418,271
987736,270
2380568,270
2459341,270
1566648,270
1615922,269
2445141,269
2457698,269
1953143,269
404277,268
203014,268
2458356,268
1316436,268
562884,267
1444759,267
2453208,266
2458438,266
2339837,266
1170176,265
585589,265
2451718,265
2394933,265
2401204,264
2265648,264
2324991,264
2324315,263
2308157,263
2390681,263
46422,263
2457920,263
148955,263
99619,262
10961,261
1946997,261
2459023,261
2310716,260
41636,260
2457845,260
1499909,260
2456411,259
1371634,259
2295882,259
2438043,259
2067704,259
2079276,259
2457643,258
1866565,257
2458770,256
2458062,256
1921196,256
1257570,255
2459396,255
2455618,255
2086049,255
2205140,254
2459016,254
2455733,254
2403747,254
709404,253
2459292,253
1778048,253
2458035,252
2457827,252
1412193,252
858800,252
1501763,251
2459419,251
1087898,251
135477,251
1884704,250
2459149,250
2272580,250
2459316,250
2458868,249
2454501,249
1954774,249
2439797,248
2459798,248
2209262,248
2458845,247
345962,247
2409672,247
1856843,247
2405839,246
2400567,246
1716396,246
578825,245
2387901,244
2442378,243
2305301,243
2268912,243
2408505,243
1348700,242
2437696,242
2109996,242
2330009,242
1951069,242
2459729,242
2294035,241
1215102,241
2185778,241
655753,240
